"","this_player","min_age","max_age","num_years","num_teams","pts_prime","max_avg_pts"
"42.202","Andre Barrett",22,25,3,7,22,"5.6"
"42.205","Ernie Barrett",24,26,2,2,26,"Did Not Play (retired)"
"42.208","Mike Barrett",26,29,3,4,26,"Did Not Play"
"42.211","Earl Barron",24,33,9,10,28,"Did Not Play (other pro league—Italy, D-League)"
"42.214","Dana Barros",22,36,14,5,27,"Did Not Play (waived)"
"42.217","Brent Barry",24,37,13,7,30,"14.4"
"42.220","Drew Barry",24,26,2,4,26,"2.8"
"42.223","Jon Barry",23,36,13,9,32,"9"
"42.227","Rick Barry",21,35,14,7,22,"Did Not Play (legal—barred from playing in ABA)"
"42.230","Ed Bartels",24,25,1,4,24,"4.5"
"42.233","Vic Bartolome",23,23,0,1,23,"0.9"
"42.236","Will Barton",22,27,5,3,27,"15.7"
"42.239","Eddie Basden",22,22,0,1,22,"2.1"
"42.242","Jerry Baskerville",24,24,0,1,24,"1.2"
"42.245","Brandon Bass",20,31,11,6,26,"12.5"
"42.248","Tim Bassett",22,28,6,6,25,"9"
"42.251","Maceo Baston",27,33,6,3,31,"Did Not Play (other pro league—Israel)"
"42.254","Mengke Bateer",26,28,2,3,26,"5.1"
"42.256","Billy Ray Bates",23,26,3,4,24,"13.8"
"42.259","Esteban Batista",22,23,1,1,22,"1.8"
"42.261","Mike Batiste",25,25,0,1,25,"6.4"
"42.264","Tony Battie",21,35,14,8,21,"Did Not Play (injury—shoulder)"
"42.267","Shane Battier",23,35,12,4,23,"14.4"
"42.270","John Battle",23,32,9,2,28,"13.6"
"42.273","Kenny Battle",25,28,3,5,26,"6.1"
"42.277","Dave Batton",26,27,1,2,26,"3.3"
"42.280","Lloyd Batts",23,23,0,1,23,"10.3"
"42.283","Nicolas Batum",20,29,9,2,28,"15.1"
"42.285","Johnny Baum",23,27,4,5,27,"8"
"42.288","Frankie Baumholtz",28,28,0,1,28,"14"
"42.291","Lonny Baxter",24,27,3,7,24,"4.8"
"42.294","Jerryd Bayless",20,29,9,8,23,"11.4"
"42.297","Elgin Baylor",24,37,13,2,27,"38.3"
"42.301","Howard Bayne",25,25,0,1,25,"4.9"
"42.304","Aron Baynes",26,31,5,3,28,"6.6"
"42.307","Sergei Bazarevich",29,29,0,1,29,"3"
"42.309","Kent Bazemore",23,28,5,4,24,"13.1"
"42.312","Ed Beach",22,22,0,3,22,"2"
"42.315","Bradley Beal",19,24,5,1,23,"23.1"
"42.318","Al Beard",25,25,0,1,25,"2.5"
"42.321","Butch Beard",22,31,9,7,24,"Did Not Play (military service—U.S. Army)"
"42.324","Ralph Beard",22,23,1,1,23,"16.8"
"42.327","Charles Beasley",22,25,3,4,22,"13.3"
"42.330","Jerome Beasley",23,23,0,1,23,"1"
"42.334","John Beasley",23,29,6,4,23,"19.7"
"42.337","Malik Beasley",20,21,1,1,20,"3.8"
"42.340","Michael Beasley",20,29,9,6,22,"19.2"
"42.343","Zelmo Beaty",23,35,12,5,32,"Did Not Play (legal—barred from playing in ABA)"
"42.346","Rodrigue Beaubois",21,24,3,1,23,"8.9"
"42.348","Byron Beck",23,32,9,3,24,"14.5"
"42.351","Corey Beck",24,27,3,4,26,"Did Not Play (other pro league—CBA)"
"42.355","Ernie Beck",22,29,7,5,26,"Did Not Play (military service—U.S. Navy)"
"42.358","Arthur Becker",26,31,5,6,26,"18.8"
"42.361","Moe Becker",29,29,0,4,29,"6.4"
"42.364","Bob Bedell",23,26,3,3,23,"10.4"
"42.367","William Bedford",23,29,6,4,23,"Did Not Play (rehab—substance abuse)"
"42.370","Hank Beenders",30,32,2,4,30,"12.3"
"42.373","Ron Behagen",23,29,6,10,25,"11.5"
"42.376","Elmer Behnke",22,22,0,1,22,"4"
"42.379","Marco Belinelli",21,31,10,10,31,"13.6"
"42.381","Charlie Bell",22,31,9,7,27,"Did Not Play (other pro league—Spain)"
"42.384","Dennis Bell",22,24,2,1,23,"3"
"42.387","Jordan Bell",23,23,0,1,23,"4.6"
"42.390","Raja Bell",24,35,11,7,29,"14.7"
"42.394","Troy Bell",23,23,0,1,23,"1.8"
"42.397","Whitey Bell",27,28,1,1,27,"5.4"
"42.400","Walt Bellamy",22,35,13,8,22,"31.6"
"42.403","DeAndre' Bembry",22,23,1,1,23,"5.2"
"42.406","Irv Bemoras",23,26,3,3,23,"Did Not Play (military service—U.S. Army)"
"42.409","Leon Benbow",24,25,1,1,25,"7.1"
"42.412","Dragan Bender",19,20,1,1,20,"6.5"
"42.414","Jonathan Bender",19,29,10,3,21,"Did Not Play (injury—knee)"
"42.416","Jerrelle Benimon",23,23,0,1,23,"0"
"42.420","Benoit Benjamin",21,35,14,10,24,"16.4"
"42.423","Corey Benjamin",20,24,4,3,21,"Did Not Play (other pro league—ABA, Italy)"
"42.426","Anthony Bennett",20,23,3,4,21,"5.2"
"42.429","Elmer Bennett",24,26,2,5,24,"3.8"
"42.432","Mario Bennett",22,26,4,5,22,"Did Not Play (other pro league—CBA)"
"42.435","Mel Bennett",21,27,6,6,21,"Did Not Play (other pro league—WBA)"
"42.438","Spider Bennett",25,25,0,3,25,"7.7"
"42.441","Tony Bennett",23,25,2,1,25,"4.7"
"42.444","Winston Bennett",24,26,2,3,24,"6.1"
"42.447","David Benoit",23,32,9,7,26,"Did Not Play (other pro league—Israel)"
"42.450","Keith Benson",23,23,0,1,23,"0"
"42.453","Kent Benson",23,33,10,5,26,"15.7"
"42.456","Ben Bentil",21,21,0,1,21,"0"
"42.459","Gene Berce",23,23,0,1,23,"3.3"
"42.462","Gary Bergen",24,24,0,1,24,"1.3"
"42.465","Larry Bergh",24,24,0,1,24,"6.1"
"42.468","Ricky Berry",24,24,0,1,24,"11"
"42.472","Walter Berry",22,24,2,5,22,"17.6"
"42.475","Davis Bertans",24,25,1,1,25,"5.9"
"42.477","Del Beshore",22,23,1,2,23,"3.6"
"42.480","Travis Best",23,32,9,6,28,"11.9"
"42.483","Patrick Beverley",24,29,5,2,29,"12.2"
"42.486","Sim Bhullar",22,22,0,1,22,"0.7"
"42.489","Wesley Bialosuknia",22,22,0,1,22,"8.7"
"42.492","Al Bianchi",24,33,9,2,29,"10.3"
"42.495","Hank Biasatti",25,25,0,1,25,"1"
"42.498","Henry Bibby",23,31,8,5,29,"12.2"
"42.501","Mike Bibby",20,33,13,7,27,"21.1"
"42.504","Ed Biedenbach",23,23,0,1,23,"0.6"
"42.507","Andris Biedrins",18,27,9,2,22,"11.9"
"42.509","Don Bielke",NA,NA,NA,1,NA,"2"
"42.511","Bob Bigelow",22,25,3,4,23,"2.9"
"42.514","Lionel Billingy",22,22,0,1,22,"8.5"
"42.517","Chauncey Billups",21,37,16,8,33,"19.5"
"42.520","Dave Bing",23,34,11,3,24,"27.1"
"42.523","Joe Binion",25,25,0,1,25,"1.3"
"42.526","Khem Birch",25,25,0,1,25,"4.2"
"42.530","Jabari Bird",23,23,0,1,23,"3"
"42.533","Jerry Bird",23,23,0,1,23,"2.3"
"42.536","Larry Bird",23,35,12,1,31,"29.9"
"42.539","Otis Birdsong",22,33,11,3,25,"24.6"
"42.542","Gale Bishop",26,26,0,1,26,"8.3"
"42.545","Bismack Biyombo",19,25,6,4,24,"6"
"42.547","Nemanja Bjelica",27,29,2,1,29,"6.8"
"42.549","Uwe Blab",23,27,4,4,23,"2.6"
"42.552","Charlie Black",27,30,3,6,27,"Did Not Play (other pro league—NPBL)"
"42.555","Norman Black",23,23,0,1,23,"2.7"
"42.558","Tarik Black",23,26,3,3,23,"7.2"
"42.562","Tom Black",29,29,0,3,29,"5"
"42.565","Rolando Blackman",22,34,12,2,24,"22.4"
"42.568","Alex Blackwell",22,22,0,1,22,"1.3"
"42.571","Cory Blackwell",21,21,0,1,21,"3.4"
"42.574","James Blackwell",26,26,0,3,26,"1.6"
"42.577","Nate Blackwell",22,22,0,1,22,"3.7"
"42.580","DeJuan Blair",20,26,6,3,22,"9.5"
"42.583","Steve Blake",23,35,12,9,28,"11"
"42.586","Antonio Blakeney",21,21,0,1,21,"7.9"
"42.589","Will Blalock",23,23,0,1,23,"1.8"
"42.592","George Blaney",22,22,0,1,22,"3.3"
"42.595","Lance Blanks",24,26,2,2,26,"2.6"
"42.599","Ricky Blanton",26,26,0,1,26,"3"
"42.602","Andray Blatche",19,27,8,2,24,"16.8"
"42.604","Mookie Blaylock",22,34,12,3,29,"17.4"
"42.608","Eric Bledsoe",21,28,7,4,27,"21.1"
"42.611","Leon Blevins",24,24,0,1,24,"1"
"42.614","John Block",22,31,9,8,23,"20.2"
"42.617","Mike Bloom",33,34,1,5,33,"11.1"
"42.620","Corie Blount",25,35,10,8,32,"6.8"
"42.623","Mark Blount",25,33,8,5,30,"12.4"
"42.626","Vander Blue",21,25,4,3,22,"Did Not Play"
"42.629","Ray Blume",23,23,0,1,23,"4.6"
"42.632","Nelson Bobb",25,28,3,1,28,"6.2"
"42.635","Tony Bobbitt",25,25,0,1,25,"2.5"
"42.638","Bucky Bockhorn",25,31,6,1,28,"15.8"
"42.641","Tom Boerwinkle",23,32,9,1,25,"10.8"
"42.644","Keith Bogans",23,33,10,10,24,"9.6"
"42.647","Bogdan Bogdanovic",25,25,0,1,25,"11.8"
"42.649","Bojan Bogdanovic",25,28,3,4,28,"14.3"
"42.651","Muggsy Bogues",23,36,13,5,30,"11.1"
"42.654","Andrew Bogut",21,33,12,6,25,"15.9"
"42.657","Etdrick Bohannon",24,27,3,6,26,"2.4"
"42.662","Manute Bol",23,32,9,5,26,"3.9"
"42.665","Bill Bolger",22,22,0,1,22,"2.8"
"42.668","Joel Bolomboy",23,24,1,2,23,"1.8"
"42.671","Doug Bolstorff",26,26,0,1,26,"1.3"
"42.674","George Bon Salle",26,26,0,1,26,"1.3"
"42.677","Phil Bond",23,23,0,1,23,"0.6"
"42.680","Walter Bond",23,25,2,4,23,"8"
"42.683","Dexter Boney",26,26,0,1,26,"2.4"
"42.686","Ron Bonham",22,25,3,3,22,"Did Not Play"
"42.689","Anthony Bonner",22,27,5,3,23,"9.4"
"42.692","Matt Bonner",24,35,11,2,28,"8.2"
"42.695","Butch Booker",24,24,0,1,24,"5.8"
"42.698","Devin Booker",19,21,2,1,21,"24.9"
"42.701","Melvin Booker",23,24,1,4,24,"7.3"
"42.704","Trevor Booker",23,30,7,6,30,"10.1"
"42.707","Josh Boone",22,25,3,1,23,"8.2"
"42.710","Ron Boone",22,34,12,8,29,"26.2"
"42.713","Calvin Booth",23,32,9,8,24,"7.5"
"42.716","Keith Booth",23,24,1,1,24,"3.1"
"42.719","Bob Boozer",23,33,10,7,31,"21.7"
"42.722","Carlos Boozer",21,33,12,4,26,"21.1"
"42.725","Curtis Borchardt",23,24,1,1,23,"3.6"
"42.728","Jake Bornheimer",21,22,1,1,21,"5.9"
"42.731","Lazaro Borrell",27,27,0,1,27,"3.6"
"42.733","Ike Borsavage",26,26,0,1,26,"2.7"
"42.736","Vince Boryla",22,26,4,1,23,"14.9"
